,answer,passage,question,tf
935,ベクタ系画像処理ソフトではオブジェクトが数式で表現されているため、拡大・変形しても画質は劣化しない。,ベクタ系画像処理ソフトでは、円や長方形などの図形はオブジェクトというひとつの塊として描画される。オブジェクトは、数式で表現されているため、拡大・変形しても画質は劣化しない。また、オブジェクト毎に選択して重ねたり移動したりできる。,ベクタ系画像処理ソフトでは、円や長方形などの図形はオブジェクトという一つの塊として描画されます。,0
380,産業財産権と著作権,"知的財産権とは,人間の幅広い知的創造活動の成果について,その創作者に一定期間の権利保護を与えるようにした制度である。知的財産権は,申請の必要な産業に関する産業財産権と,申請の必要がない文化や芸術に関する著作権に大きく分けられる。","知的財産権とは,人間の幅広い知的創造活動の成果について,その創作者に一定期間の権利保護を与えるようにした制度を指す。",0
850,対人コミュニケーションとは特定相手を限定した個人対個人のコミュニケーションのことである。,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,マスコミュニケーションは特定相手を限定した個人対個人のコミュニケーションを指す。,0
783,正しくない,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。","次の文章は正しいか答えなさい。画像データを大別して,ラスタデータとベクタデータに大別できる。",0
529,情報格差や健康への影響、いじめや犯罪に巻き込まれるといった問題がある,"スマートフォンなど個人が所有する情報機器の普及はsnsの普及につながり,コミュニケーションの利便性の向上につながっていると考えられる反面,年齢や所得など,個人の技術や社会環境の差により格差(デジタルディバイド)が生じ,新しい情報を手に入れる機械や量が異なることがある.","情報格差や健康への影響の他に,個人が所有する情報機器の普及はsnsの普及につながり,コミュニケーションの利便性の向上につながると考えられる一方,年齢や所得など,個人の技術や社会環境の差により格差が生じることがある.",0
512,正しい,授業での利用(著作権法第35条)では教育を担当する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,次の文章は正しいか答えなさい。授業の過程で利用するために著作物を複製することは違法である。,0
32,帰無仮説を棄却する統計的な証拠にはならない,"帰無仮説上の分布で検定統計量の観測値が対立仮説の方向にその値以上にずれる有意確率が有意水準以下になるとき,帰無仮説は正しくないと考え,帰無仮説は棄却され対立仮説を採択する。p値が有意水準より大きくなる場合は,帰無仮説が正しいというより,検出力の問題もあるので,今回のデータは帰無仮説を棄却する統計的な証拠にはならないという判断に留めることが重要である。","有意確率が有意水準以下にならない場合,帰無仮説はどう言えますか?",1
745,正しくない,"コンピュータでは,文字の一つ一つに文字コードと呼ばれる固有の番号を割り当てることで,文字を2進法のデータとして取り扱っている。英語などで使用されるアルファベットや数字などの文字は種類が少ないので7bitで表現することができるが,日本語などで使用される漢字などの文字は種類が多いので16bitで表現する。","次の文章は正しいか答えなさい。英語で使用されるアルファベットや数字などの文字は種類が少ないので7bitで表現できますが,日本語などで使用される漢字のような文字は種類が多いので16bitで表現できます。",0
836,正しい,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,次の文章は正しいか答えなさい。マスコミュニケーションは不特定相手限定した個人対個人のコミュニケーションのことを指す。,0
689,デジタル,"私たちの身の回りには,温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り,数値を用いて表す方法である。","連続する量を一定の間隔ごとに区切り,数値を用いて表す方法である。",0
475,生存する個人に関する情報で、氏名・生年月日その他の記述などで特定の個人を識別できるもの。または個人識別符号が含まれるもの。,"2003年に成立した「個人情報の保護に関する法律」(以下,「個人情報保護法」という)では,個人情報を以下のように定義している。「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ,それによって特定の個人を識別することができることとなるものを含む。),または個人識別符号が含まれるもの。」","「個人情報保護法」は「生存する個人に関する情報で,当該情報に含まれる氏名,生年月日その他の記述などによって特定の個人を識別できるもの。",0
691,デジタル,"私たちの身の回りには,温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り,数値を用いて表す方法である。","連続する量を一定間隔ごとに区切り,数値を用いて表す方法はデジタルである。",0
756,ラスタデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。",画像を色情報を持った点を使って表現したデータはどれか,0
472,生存する個人に関する情報で、氏名・生年月日その他の記述などで特定の個人を識別できるもの。または個人識別符号が含まれるもの。,"2003年に成立した「個人情報の保護に関する法律」(以下,「個人情報保護法」という)では,個人情報を以下のように定義している。「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ,それによって特定の個人を識別することができることとなるものを含む。),または個人識別符号が含まれるもの。」","「個人情報保護法」は「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日その他の記述によって特定の個人を識別できるもの。",0
757,ラスタデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。",写真や自然画などを扱うのに適している画像データの種類は何か,1
48,ビットマップデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。","コンピュータで画像を扱う際,画像を色情報を持った点を使って表現したデータ形式を,ラスターデータ以外に何と呼ぶか",1
26,正しくない,離散グラフをコンピュータ上で表現するには、コンピュータで扱うことができるデータ形式で表現する必要がある。一つの例として、2次元配列を用いて表現することができる。頂点どうしがつながっていれば1、つながっていなければ0として表現する。このように表現する方法を隣接行列という。隣接行列を用いて表現する場合、辺の本数が少ない場合には、隣接行列の要素の多くが0である疎行列になってしまう。,次の文章は正しいか答えてください。離散グラフを隣接行列を用いて表現する場合、辺の本数が少ない場合には蜜行列となる。,1
357,正しくない,ネットワークを利用したサイバー犯罪には次のような特徴がある。1.匿名性が高い2.痕跡が残りにくい3.不特定多数が被害を受ける4.時間と空間の制約がない,次の文章は正しいか答えなさい。ネットワークを利用したサイバー犯罪には次のような特徴がある。1.匿名性が低い2.痕跡が残りにくい3.不特定多数が被害を受ける4.時間と空間の制約がない,1
557,目が疲れたり肩こりが生じたりする身体的な症状と、情報機器に過度に依存してしまう不安症などが挙げられる,"情報機器の普及は,これらを利用して仕事している人に対して,目が疲れたり肩こりが生じたりという身体的な症状や,また,過度に情報機器に依存してしまう不安症などという健康被害(テクノストレス)を生じさせることもある.","情報機器の普及は,それらを利用して仕事している人に対してどのような健康被害を生じさせるか?",1
914,正しい,近年では、検索アルゴリズムの発達によって、利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象(フィルターバブル)が指摘されている。,次の文章は正しいか答えなさい。検索アルゴリズムの発達によって、利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象が指摘されている。,1
650,バリアフリーは障がい者や高齢者、妊婦にとって障壁となるものを取り除くという考えで、ユニバーサルデザインは障がい者、高齢者問わず、全ての人が生活しやすい環境を実現する考えである,"障がい者,高齢者,妊婦などにとって障壁(バリア)となっているものを取り除こうという考えからスタートしたのがバリアフリーである.一方で,ユニバーサルデザインはまた別の概念であり,障がいの有無,年齢,性別,人種等にかかわらず,すべての人にとって生活しやすい環境を実現するための工夫をさす.","ユニバーサルデザインとはどういう意味ですか?バリアフリーは障がい者、高齢者問わず,すべての人が生活しやすい環境を実現する考えである.",0
1012,学習指導要領では情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べてられている。,学習指導要領解説では、情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べている。,学習指導要領解説では、情報デザインについてどのように述べられていますか?,1
683,デジタル,"私たちの身の回りには,温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り,数値を用いて表す方法である。","連続する量を一定間隔ごとに区切り,数値を用いて表す方法は何ですか?",1
998,アイソタイプの目的は、言語の壁を越えて情報を伝達することで、社会的不平等を解消することである。,オットー・ノイラートが考案したアイソタイプは、文字が読めない社会的弱者を含めた、あらゆる人々に向けて、情報をグラフィカルに伝達しようとしたものである。その目的は、言語の壁を越えて情報を伝達することで、社会的な不平等を解消しようとしたものと言われている。,オットー・ノイラートが考案したアイソタイプの名前は何ですか?,0
123,主な利用目的としてコミュニケーション、動画視聴、音楽試聴があげられる,"特に,2018年に発表された内閣府による青少年のインターネット利用環境実態調査の結果によると,平均1日あたり,高校生の53.8%が3時間以上インターネットを利用しており,5時間以上利用している者も26.1%に上るという.利用目的として,上位からコミュニケーション,動画視聴,音楽視聴と報告されている.",高校生のインターネット利用目的はどのようなものが挙げられますか,1
391,情報機器が普及したことで映像や音楽、イラストや写真など多くの著作物を手軽に利用かつ複製できるようになったため、著作権についてよく理解した上で活用するようにしなければならない,"情報機器等が普及し,デジタル化が進んだことにより,映像,音楽,イラストや写真,文章など多くの著作物を手軽に利用でき,また複製できるようになった.手軽に利用できるようになったからこそ,知らぬ間に著作権を侵害してしまうことのないように,著作権についてよく理解した上で,著作物を守り活用していく姿勢が求められる.","情報機器等が普及し,デジタル化が進んだ結果,知らぬ間に著作権を侵害してしまうことのないように配慮しなければならないか?",0
1008,学習指導要領では情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べてられている。,学習指導要領解説では、情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べている。,学習指導要領解説では、情報デザインについてどのように述べられているか。,1
755,ラスタデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。",画像を点の集合で表現したデータはどれか,0
22,行政の透明性・信頼性の向上,オープンデータとしてデータが公開されることにより、政策等に関する十分な分析・判断が可能となり、行政の透明性・信頼性の向上につながると考えられる。,オープンデータとしてデータが公開されるとどのような効果がありますか,1
422,生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述等により特定の個人を識別することができるもの、あるいは個人識別符号が含まれるもの,"2003年に成立した「個人情報の保護に関する法律」では,個人情報を次のように定義している。「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日,その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ,それによって特定の個人を識別することができることとなるものを含む),または個人識別符号が含まれるもの。」","個人情報を次のように定義している。「生存する個人に関する情報であって,当該情報に含まれる氏名、生年月日その他の記述によって特定の個人を識別できるもの」",0
250,アイデアの近さやまとまりを可視化するkj法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセプトマップがある,"アイデアを整理し,可視化する有効な手法として,アイデアをそれぞれのカードに記し,二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や,アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある.前者の代表的な例として「kj法」が,後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる.","アイデアを整理し,可視化するための有効な手法にはどのようなものがありますか",1
1009,学習指導要領では情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べてられている。,学習指導要領解説では、情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べている。,学習指導要領解説では、情報デザインについてどのように記述されているか?,1
1093,正しくない,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、kj法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがその代表である。,次の文章は正しいか答えなさい。態度技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、ロールプレイング、ワールドカフェがその代表である。,1
535,10代はsnsや動画投稿・共有サイト、友人とのチャットが情報源であり、60代は新聞やテレビを情報源としている,"10代は情報源としてsnsや動画投稿・共有サイト,友人とのチャットが中心であるように読み取れる.60歳以上は,ネットの利用時間が短く",60代は情報源としてsnsや動画投稿・共有サイトが中心であるように見えますか?,0
21,国民参加・官民共同の推進を通じた諸課題の解決、経済活性化,オープンデータとしてデータが公開される意義として国民参加・官民共同の推進を通じた諸課題の解決、経済活性化があげられ、その効果として多様なサービスの提供・公共サービスの提供・改善、諸課題の解決への貢献などが挙げられる。,オープンデータとしてデータが公開されるのはどんな意義がありますか,1
806,対人コミュニケーション、集団コミュニケーション、マスコミュニケーション,コミュニケーションを、個人同士で情報をやり取りする「対人コミュニケーション」、限られた集団で情報をやり取りする「集団コミュニケーション」、不特定多数で情報をやり取りする「マスコミュニケーション」の3つのモデルに分ける考え方がある。,コミュニケーションを、個人同士で情報をやり取りする3つのモデルに分ける考え方は何か,0
922,正しい,ベクタ系画像処理ソフトでは、円や長方形などの図形はオブジェクトというひとつの塊として描画される。オブジェクトは、数式で表現されているため、拡大・変形しても画質は劣化しない。また、オブジェクト毎に選択して重ねたり移動したりできる。,次の文章は正しいか答えなさい。ベクタ系画像処理ソフトでは、円や長方形などの図形はオブジェクトという一つの塊として描画される。,1
240,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,"ブレーンストーミングには質より量,制約を設けない,便乗の奨励,批判の禁止の4つのルールがある.",ブレーンストーミングには4つのルールがあります。,0
1153,バリューシナリオ、アクティビティシナリオ、インタラクションシナリオ,シナリオ手法は、デザインしたものが利用される場面を具体的に想定して、要件を定義する手法である。シナリオ手法の一種として、「構造化シナリオ手法」がよく用いられる。これは、デザインされたものについて、利用者にどのような価値をもたらすのか記述した「バリューシナリオ」、利用者の活動の様子について記述した「アクティビティシナリオ」、利用者の具体的な行動や操作について記述した「インタラクションシナリオ」の3つのシナリオから構成される,「構造化シナリオ手法」には、デザインされたものについて利用者にどのような価値をもたらすのか記述した3つのシナリオがある。,0
254,正しくない,"事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.",次の文章は正しいか答えなさい。事象や現象を数字や文字などで記号化したものが情報である.,1
406,産業財産権には、新しい発明を出願から20年間保護する特許権、物品の構造・形状の考案を出願から20年間保護する実用新案権、商品やサービスに使用するマークを保護する商標権、物品のデザインを登録から25年間保護する意匠権がある。,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される.","特許権,実用新案権,意匠権を総称して産業財産権という.",0
1110,正しくない,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、kj法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがその代表である。,次の文章は正しいか答えなさい。発散技法は多くの視点から多様な発想を生み出そうとする方法であり、ロールプレイング、ワールドカフェがその代表である。,1
978,究極の5個の帽子掛け,"情報デザインを行っていく上で欠かせないのが,情報を構造化していくことである。情報の構造化とは,情報をある基準を用いて整理し,整理された情報同士を結び付けていくことである。情報の整理の基準として用いられているのが,リチャード・ソール・ワーマンが提唱した「究極の5個の帽子掛け」と呼ばれるものである。ここでは,情報を整理する基準について,「位置」「アルファベット」「時間」「カテゴリ」「連続量」の5つしかないとしている。",リチャード・ソール・ワーマンによって提唱された情報の整理の基準は何か,1
960,ラスタ系画像処理ソフトでは画像を小さな点で描画するため、拡大や変形によって画像が粗くなることがある。,ラスタ系画像処理ソフトでは、画像を小さな点(ピクセル)で描画する。そのため、拡大や変形すると画像が粗くなる場合がある。また、ベクタ系とは異なり画像内にある一部の円や長方形だけを移動したり、削除することはできない。,ラスタ系画像処理ソフトで画像を小さな点(ピクセル)で描画するとどうなりますか,0
770,ビットマップデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。","ラスタデータはコンピュータで扱う画像データを大別して,ラスタデータとベクタデータに大きく分けられる。",0
42,標本化,"アナログ情報をデジタル化するときには,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化,量子化した数値を2進法で表現する符号化の手順が行われる。","アナログ情報をデジタル情報に変換する際,連続的に変化する量を一定の時間間隔で区切る処理を何というか",1
19,eラーニングシステム,教育分野などで機材提供や学習履歴に基づく指導を行うために用いられる、eラーニングシステムがある。,教育分野で用いられる情報システムはなにか,1
776,ベクターデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。",画像を点とそれを結ぶ線や面で計算処理して表現したデータはラスタデータとベクタデータに分けられる。,0
76,正しい,利用者に適切な行動を誘導する役割を持たせたデザインをシグニファイアという。適切なシグニファイアがデザインされたユーザインターフェースは、利用者が得られる体験(ユーザエクスペリエンス)の向上をもたらすため、情報デザインの重要性は一層増してきている。,次の文章は正しいか答えなさい。適切なシグニファイアがデザインされたユーザインターフェースは、ユーザエクスペリエンスの向上をもたらすため、情報デザインの重要性は一層増してきている。,1
335,情報システムごとに導入コストや運用コストのトレードオフを考慮する必要がある,"情報システムを運用する場合には導入コストや運用コストなどとのトレードオフも考慮しながら,情報システム毎に3要素の重要度を検討する必要がある。","情報システムを運用する場合には導入コストや運用コストとのトレードオフも考慮しながら,情報システムごとに3要素の重要度を検討する必要がある",0
1044,シグニファイアとは利用者に適切な行動を誘導する役割を持たせたデザインのことである。,利用者に適切な行動を誘導する役割を持たせたデザインをシグニファイアという。適切なシグニファイアがデザインされたユーザインターフェースは、利用者が得られる体験(ユーザエクスペリエンス)の向上をもたらすため、情報デザインの重要性は一層増してきている。,適切なシグニファイアがデザインされたユーザインタフェースは、利用者が得られる体験の向上をもたらすため、情報デザインの重要性は一層増してきている。,0
211,形がない、消えない、簡単に複製できる、容易に伝播する,"情報の代表的な特性として,以下の4つがあげられる。1形がない2消えない3簡単に複製できる4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。","情報の代表的な特性として,以下の4つがあげられる。",0
1082,kj法、特性要因図,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、kj法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがある。,発散技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、ロールプレイング、ワールドカフェがある。,0
318,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことである,"コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことをマルウェアと呼び,これは広義のコンピュータウイルスに当たる.",広義のコンピュータウイルスとはどういう意味ですか?,0
1079,kj法、特性要因図,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、kj法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがある。,収束技法は集めたデータをまとめていくことで有効な情報を形成してゆく方法であり、ロールプレイング、ワールドカフェがある。,0
241,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,"ブレーンストーミングには質より量,制約を設けない,便乗の奨励,批判の禁止の4つのルールがある.","ブレーンストーミングのルールは質より量,制約を設けない,便乗の奨励,批判の禁止の4つのルールがある",0
362,正しい,一般の利用者が情報システムを利用するにあたり、設定するパスワードは通常、英数字、記号などを組み合わせ、他の人に容易に推測されない複雑なものにする必要がある。,次の文章は正しいか答えなさい。一般の利用者が情報システムを利用するにあたり、設定するパスワードは通常、英数字、記号などを組み合わせ、他の人に容易に推測されない複雑なものにする必要がある。,1
674,正しい,収集した膨大なデータを利用して、データ相互の関係や有用な知見を見出すことなどをデータマイニングと呼ぶ。,次の文章は正しいか答えなさい。収集した膨大なデータを利用して、データ相互の関係や有用な知見を見出すことなどをデータマイニングと呼ぶ。,1
98,英数字・記号などを組み合わせ、他人に容易に推測されないようにする。,"これらを実現するためには,認証技術は欠かすことができない。認証はユーザidとパスワードを使って行うことが多い。一般の利用者が情報システムを利用するにあたり,設定するパスワードは通常,英数字,記号などを組み合わせ,他の人に容易に推測されない複雑なものにする必要がある。",パスワード設定時に注意すべき事項とは何でしょうか?,1
233,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,"ブレーンストーミングには質より量,制約を設けない,便乗の奨励,批判の禁止の4つのルールがある.",ブレーンストーミングにはどのようなルールがありますか?,1
483,プライバシーの権利,"19世紀末に米国の法律家であるサミュエル・d・ウォーレンスとルイス・d・ブランダイスが,一人にしておいてもらう権利(私生活をみだりに他人の目にさらされない権利)として「プライバシーの権利」を主張した。","サミュエル・d・ウォーレンスとルイス・d・ブランダイスは,一人にしておいてもらう権利として何を主張したのか?",1
1018,正しくない,オットー・ノイラートのアイソタイプは、図記号を用いた情報デザインのはしりである。その後、オリンピックなどの国際的なイベントや駅などの公共施設の案内に、ピクトグラムを中心としたサインシステムが用いられるようになり、インフォグラフィックスによる情報の表現も多くみられるようになっている。,次の文章は正しいか答えなさい。オリンピックなどの国際的なイベントや駅などの公共施設の案内にピクトグラムを中心としたサインシステムが用いられるようになり、インフォグラフィックスによる情報の表現もみられるようになっている。,0
829,正しくない,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,次の文章は正しいか答えなさい。マスコミュニケーションとは特定相手を限定した個人対個人のコミュニケーションのことを指す。,1
921,正しい,近年では、検索アルゴリズムの発達によって、利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象(フィルターバブル)が指摘されている。,次の文章は正しいか答えなさい。検索アルゴリズムの発達によって、利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象(フィルターバブル)が指摘されている,1
418,商標権,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される。","特許権と実用新案権は総称して産業財産権といい,新しい技術やデザインに対して独占的に使用できる権利が与えられている。",0
213,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,"事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.","データは事象や現象を数字や文字などで記号化したものであり,意味や価値が付加されたデータやメッセージを情報という.",0
232,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,"ブレーンストーミングには質より量,制約を設けない,便乗の奨励,批判の禁止の4つのルールがある.",ブレーンストーミングには4つのルールがありますか?,0
